symbol,shares_outstanding
ITI,962851967
IVALUE,54630380
IVC,314032740
IWP,63972720
IXIGO,441044262
IZMO,14980321
J&KBANK,1101182463
JAGRAN,217654272
JAGSNPHARM,65957420
JAIBALAJI,912251430
JAICORPLTD,175504995
JAINREC,345085814
JAIPURKURT,19090714
JAMNAAUTO,399985135
JARO,22270387
JASH,62905120
JAYAGROGN,30000000
JAYBARMARU,108250000
JAYKAY,130287066
JAYNECOIND,970998244
JAYSREETEA,28877488
JBMA,236494264
JETFREIGHT,46403784
JGCHEM,39186063
JHS,87405767
JINDALPHOT,10297466
JINDALPOLY,43786413
JINDALSAW,637621094
JINDALSTEL,1017488097
JINDRILL,28981104
JINDWORLD,1002602000
JIOFIN,6603141623
JISLDVREQS,733510251
JISLJALEQS,733510251
JITFINFRA,25703706
JKCEMENT,77268251
JKIL,75665506
JKIPL,38386000
JKLAKSHMI,124144426
JKPAPER,181318771
JKTYRE,288289511
JLHL,327830110
JMA,22841054
